Replicate,Heterogeneity model,Tree length,LnL gamma rates,LnL free rates,LnL phyloRNN rates,LnL true rates
0,GBM_uncorrelated,0.048,-1735.990,-1735.770,-1717.994,-1735.399
1,Gamma_autocorrelated,0.617,-5252.660,-5246.910,-5055.227,-5095.449
2,Bimodal_uncorrelated,0.235,-2665.980,-2664.470,-2585.512,-2573.566
3,Spike-and-slab_uncorrelated,0.560,-4718.620,-4713.730,-4625.221,-4686.640
4,GBM_uncorrelated,0.064,-1895.890,-1877.200,-1797.892,-1800.167
5,Codon_uncorrelated,1.189,-7821.070,-7817.960,-7488.423,-7497.536
6,GBM_uncorrelated,16.565,-17096.470,-16919.200,-16074.284,-15844.467
7,Bimodal_uncorrelated,4.568,-17651.340,-17359.680,-16690.113,-16597.409
8,Bimodal_uncorrelated,2.719,-13303.310,-13201.690,-12596.996,-12568.510
9,GBM_uncorrelated,3.089,-14481.340,-14437.670,-13647.083,-13678.580
10,Spike-and-slab_autocorrelated,5.565,-23700.900,-23694.690,-23443.449,-23478.195
11,Gamma_autocorrelated,0.195,-2713.640,-2712.930,-2607.064,-2620.441
12,Codon_uncorrelated,1.716,-10299.130,-10294.960,-9883.620,-9912.712
13,Spike-and-slab_uncorrelated,0.146,-2563.070,-2563.020,-2498.669,-2492.777
14,Spike-and-slab_autocorrelated,0.030,-1481.510,-1481.510,-1466.209,-1482.310
15,GBM_autocorrelated,0.417,-4084.050,-4083.780,-4038.774,-4070.167
16,GBM_uncorrelated,0.042,-1760.950,-1759.010,-1705.866,-1692.009
17,Gamma_uncorrelated,0.113,-2247.840,-2247.690,-2210.408,-2203.315
18,Gamma_uncorrelated,6.317,-14885.100,-14688.470,-13818.536,-13670.606
19,GBM_autocorrelated,0.830,-6172.890,-6171.150,-6089.008,-6109.697
20,Bimodal_autocorrelated,5.144,-22596.410,-22594.480,-22511.205,-22506.616
21,Gamma_uncorrelated,16.029,-27703.320,-27633.150,-27243.071,-26148.050
22,Bimodal_autocorrelated,0.252,-3432.180,-3430.330,-3297.357,-3333.566
23,Bimodal_uncorrelated,24.324,-43250.170,-43016.130,-43291.595,-42330.001
24,Bimodal_uncorrelated,0.243,-3062.070,-3061.380,-2999.084,-3003.488
25,GBM_autocorrelated,0.296,-3517.450,-3517.140,-3479.757,-3511.761
26,Codon_uncorrelated,0.301,-3471.170,-3469.670,-3346.952,-3353.491
27,Codon_uncorrelated,7.878,-26491.050,-26444.550,-25694.327,-25683.118
28,GBM_autocorrelated,5.999,-24847.560,-24837.600,-24483.054,-24478.644
29,Spike-and-slab_uncorrelated,0.181,-2572.720,-2572.650,-2489.319,-2544.064
30,Codon_uncorrelated,4.785,-19476.410,-19452.330,-18805.215,-18817.106
31,GBM_autocorrelated,2.560,-14366.500,-14365.400,-14332.837,-14362.040
32,Gamma_autocorrelated,1.399,-8669.360,-8666.420,-8237.580,-8310.623
33,Spike-and-slab_autocorrelated,0.898,-6794.070,-6787.430,-6676.594,-6736.713
34,Bimodal_autocorrelated,5.600,-23324.130,-23321.360,-23093.576,-23106.840
35,Spike-and-slab_autocorrelated,0.031,-1641.050,-1640.530,-1601.724,-1634.053
36,Gamma_uncorrelated,0.505,-4862.890,-4860.640,-4672.074,-4724.452
37,Codon_uncorrelated,2.853,-14121.220,-14107.270,-13799.659,-13781.087
38,Bimodal_autocorrelated,0.149,-2467.350,-2466.510,-2402.276,-2418.397
39,GBM_autocorrelated,5.111,-22593.770,-22593.670,-22494.235,-22514.223
40,GBM_uncorrelated,0.056,-1990.440,-1986.130,-1950.240,-1977.558
41,Spike-and-slab_uncorrelated,0.903,-6943.800,-6942.770,-6867.534,-6896.266
42,Bimodal_autocorrelated,0.101,-2286.210,-2286.020,-2240.185,-2264.019
43,mixed_model_mixed_model,0.057,-1968.240,-1964.820,-1905.756,-2019.686
44,Spike-and-slab_uncorrelated,16.328,-40417.280,-40170.410,-40532.130,-40007.637
45,GBM_autocorrelated,11.127,-34818.150,-34812.700,-34604.569,-34596.220
46,Spike-and-slab_uncorrelated,3.337,-17290.780,-17183.480,-17014.979,-17072.663
47,Gamma_uncorrelated,0.021,-1483.300,-1483.230,-1472.306,-1459.542
48,Gamma_uncorrelated,1.739,-10522.360,-10515.810,-10034.453,-10172.852
49,Gamma_uncorrelated,0.431,-3928.630,-3879.210,-3500.245,-3559.266
50,mixed_model_mixed_model,12.081,-40846.500,-40669.080,-40462.677,-54412.751
51,Bimodal_autocorrelated,0.834,-6539.790,-6539.050,-6439.553,-6497.448
52,Spike-and-slab_uncorrelated,0.144,-2517.060,-2516.980,-2477.070,-2480.635
53,Bimodal_uncorrelated,13.093,-36131.170,-36088.370,-36114.631,-35510.674
54,Codon_uncorrelated,0.210,-2888.990,-2888.380,-2818.742,-2827.940
55,Spike-and-slab_uncorrelated,14.808,-39295.480,-39060.210,-39238.160,-38901.784
56,GBM_autocorrelated,7.041,-27225.820,-25846.330,-25757.543,-25770.704
57,Spike-and-slab_uncorrelated,4.244,-17981.380,-17616.640,-17439.351,-17337.801
58,GBM_autocorrelated,0.068,-1806.120,-1805.190,-1788.111,-1802.109
59,Codon_uncorrelated,0.089,-2069.770,-2069.130,-2034.005,-2046.349
60,GBM_autocorrelated,9.030,-28762.040,-28758.240,-28641.732,-28584.456
61,mixed_model_mixed_model,0.522,-7386.550,-7266.810,-7264.942,-9345.776
62,Bimodal_autocorrelated,0.557,-4985.710,-4982.010,-4638.346,-4628.861
63,Bimodal_uncorrelated,0.038,-1710.070,-1709.800,-1693.468,-1708.891
64,Spike-and-slab_uncorrelated,16.920,-39864.360,-39614.580,-39919.197,-39467.726
65,GBM_uncorrelated,0.120,-2360.690,-2360.450,-2335.031,-2333.475
66,GBM_uncorrelated,1.308,-9286.820,-9283.270,-8897.690,-9101.079
67,Spike-and-slab_autocorrelated,7.599,-26737.120,-26419.580,-26004.910,-26036.308
68,GBM_uncorrelated,0.498,-4500.370,-4500.320,-4380.833,-4366.958
69,Gamma_autocorrelated,0.527,-4932.060,-4923.130,-4573.036,-4575.184
70,Bimodal_uncorrelated,0.752,-6079.270,-6078.990,-6060.535,-6068.948
71,GBM_uncorrelated,1.173,-7933.660,-7933.420,-7785.100,-7719.727
72,Spike-and-slab_uncorrelated,0.022,-1479.520,-1476.970,-1470.230,-1480.612
73,Bimodal_autocorrelated,0.337,-4040.680,-4038.720,-3921.910,-3985.578
74,GBM_autocorrelated,0.088,-2246.800,-2245.560,-2218.522,-2238.998
75,Gamma_uncorrelated,3.217,-15714.720,-15693.810,-15114.105,-15102.179
76,Gamma_uncorrelated,0.053,-1882.380,-1882.320,-1839.459,-1854.202
77,Bimodal_autocorrelated,16.036,-41671.350,-41666.060,-41556.916,-41582.800
78,Spike-and-slab_autocorrelated,0.073,-2006.310,-2006.290,-1981.764,-2002.511
79,GBM_autocorrelated,8.063,-29550.450,-29543.850,-29065.213,-29067.818
80,Bimodal_uncorrelated,0.096,-2243.500,-2240.060,-2128.241,-2214.900
81,Spike-and-slab_uncorrelated,0.121,-2475.270,-2474.030,-2418.916,-2448.625
